Time,Result ID,URL,Load zone,User scenario,Status code,RTT min,RTT max,RTT avg,Count,Value,Method,Content types,Compressed count,Avg content length,Avg compressed content length,Content type,Custom metric/Page title,Custom metric type,Log severity level,Log message,Standard deviation,Median
2016-05-08 14:14:35.459642+00:00,__li_content_type_load_time,,Aggregated (World),,,233.72,513.49,373.61,2,,,,,,,text/css,,,,,,
2016-05-08 14:14:35.459642+00:00,__li_content_type_load_time,,Aggregated (World),,,254.24,620.36,430.3,4,,,,,,,text/html,,,,,,
2016-05-08 14:14:38.486100+00:00,__li_content_type_load_time,,Aggregated (World),,,125.29,375.16,224.612,5,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:38.486100+00:00,__li_content_type_load_time,,Aggregated (World),,,241.34,478.03,359.69,2,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:38.486100+00:00,__li_content_type_load_time,,Aggregated (World),,,244.36,244.36,244.36,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:38.486100+00:00,__li_content_type_load_time,,Aggregated (World),,,595.2,739.78,643.35,4,,,,,,,text/html,,,,,,
2016-05-08 14:14:41.508001+00:00,__li_content_type_load_time,,Aggregated (World),,,122.78,632.02,306.2128571428571,7,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:41.508001+00:00,__li_content_type_load_time,,Aggregated (World),,,492.21,492.21,492.21,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:41.508001+00:00,__li_content_type_load_time,,Aggregated (World),,,477.53,492.69,485.11,2,,,,,,,text/css,,,,,,
2016-05-08 14:14:41.508001+00:00,__li_content_type_load_time,,Aggregated (World),,,270.24,421.88,346.06,2,,,,,,,text/html,,,,,,
2016-05-08 14:14:47.551577+00:00,__li_content_type_load_time,,Aggregated (World),,,120.57,358.51,182.01999999999998,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:47.551577+00:00,__li_content_type_load_time,,Aggregated (World),,,241.17,241.17,241.17,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:47.551577+00:00,__li_content_type_load_time,,Aggregated (World),,,239.82,239.82,239.82,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:47.551577+00:00,__li_content_type_load_time,,Aggregated (World),,,537.18,672.9,605.04,2,,,,,,,text/html,,,,,,
2016-05-08 14:14:50.576002+00:00,__li_content_type_load_time,,Aggregated (World),,,117.2,742.39,309.718,5,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:50.576002+00:00,__li_content_type_load_time,,Aggregated (World),,,554.37,554.37,554.37,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:50.576002+00:00,__li_content_type_load_time,,Aggregated (World),,,569.08,569.08,569.08,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:50.576002+00:00,__li_content_type_load_time,,Aggregated (World),,,255.0,372.71,313.24,4,,,,,,,text/html,,,,,,
2016-05-08 14:14:53.599266+00:00,__li_content_type_load_time,,Aggregated (World),,,122.71,624.46,389.84,3,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:53.599266+00:00,__li_content_type_load_time,,Aggregated (World),,,239.25,239.25,239.25,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:53.599266+00:00,__li_content_type_load_time,,Aggregated (World),,,239.71,239.71,239.71,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:56.623255+00:00,__li_content_type_load_time,,Aggregated (World),,,123.41,382.07,193.94,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:56.623255+00:00,__li_content_type_load_time,,Aggregated (World),,,239.07,239.07,239.07,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:56.623255+00:00,__li_content_type_load_time,,Aggregated (World),,,239.91,239.91,239.91,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:56.623255+00:00,__li_content_type_load_time,,Aggregated (World),,,251.49,601.08,467.6,3,,,,,,,text/html,,,,,,
2016-05-08 14:14:59.646457+00:00,__li_content_type_load_time,,Aggregated (World),,,121.0,590.29,299.9575,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:14:59.646457+00:00,__li_content_type_load_time,,Aggregated (World),,,436.36,436.36,436.36,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:14:59.646457+00:00,__li_content_type_load_time,,Aggregated (World),,,469.28,469.28,469.28,1,,,,,,,text/css,,,,,,
2016-05-08 14:14:59.646457+00:00,__li_content_type_load_time,,Aggregated (World),,,375.22,375.22,375.22,1,,,,,,,text/html,,,,,,
2016-05-08 14:15:02.671675+00:00,__li_content_type_load_time,,Aggregated (World),,,120.83,350.38,181.945,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:02.671675+00:00,__li_content_type_load_time,,Aggregated (World),,,250.25,250.25,250.25,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:02.671675+00:00,__li_content_type_load_time,,Aggregated (World),,,241.41,241.41,241.41,1,,,,,,,text/css,,,,,,
2016-05-08 14:15:02.671675+00:00,__li_content_type_load_time,,Aggregated (World),,,457.27,547.39,502.33,2,,,,,,,text/html,,,,,,
2016-05-08 14:15:05.694432+00:00,__li_content_type_load_time,,Aggregated (World),,,120.72,368.91,183.12749999999997,12,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:05.694432+00:00,__li_content_type_load_time,,Aggregated (World),,,243.76,246.14,244.83,3,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:05.694432+00:00,__li_content_type_load_time,,Aggregated (World),,,242.23,245.05,243.94,3,,,,,,,text/css,,,,,,
2016-05-08 14:15:05.694432+00:00,__li_content_type_load_time,,Aggregated (World),,,380.9,568.55,475.54,6,,,,,,,text/html,,,,,,
2016-05-08 14:15:08.718010+00:00,__li_content_type_load_time,,Aggregated (World),,,117.93,522.03,245.95749999999998,8,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:08.718010+00:00,__li_content_type_load_time,,Aggregated (World),,,240.07,341.89,290.98,2,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:08.718010+00:00,__li_content_type_load_time,,Aggregated (World),,,239.55,334.13,286.84,2,,,,,,,text/css,,,,,,
2016-05-08 14:15:08.718010+00:00,__li_content_type_load_time,,Aggregated (World),,,244.78,376.57,310.71,4,,,,,,,text/html,,,,,,
2016-05-08 14:15:11.742096+00:00,__li_content_type_load_time,,Aggregated (World),,,116.89,359.86,178.29000000000002,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:11.742096+00:00,__li_content_type_load_time,,Aggregated (World),,,239.28,239.28,239.28,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:11.742096+00:00,__li_content_type_load_time,,Aggregated (World),,,246.94,246.94,246.94,1,,,,,,,text/css,,,,,,
2016-05-08 14:15:11.742096+00:00,__li_content_type_load_time,,Aggregated (World),,,526.97,633.22,580.09,2,,,,,,,text/html,,,,,,
2016-05-08 14:15:14.767101+00:00,__li_content_type_load_time,,Aggregated (World),,,118.07,350.37,180.8025,4,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:14.767101+00:00,__li_content_type_load_time,,Aggregated (World),,,234.8,234.8,234.8,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:14.767101+00:00,__li_content_type_load_time,,Aggregated (World),,,253.39,253.39,253.39,1,,,,,,,text/css,,,,,,
2016-05-08 14:15:14.767101+00:00,__li_content_type_load_time,,Aggregated (World),,,238.78,359.87,299.32,2,,,,,,,text/html,,,,,,
2016-05-08 14:15:20.811543+00:00,__li_content_type_load_time,,Aggregated (World),,,118.08,506.45,252.9025,8,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:20.811543+00:00,__li_content_type_load_time,,Aggregated (World),,,232.4,388.77,310.58,2,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:20.811543+00:00,__li_content_type_load_time,,Aggregated (World),,,250.86,393.43,322.15,2,,,,,,,text/css,,,,,,
2016-05-08 14:15:20.811543+00:00,__li_content_type_load_time,,Aggregated (World),,,239.97,371.01,305.3,4,,,,,,,text/html,,,,,,
2016-05-08 14:15:23.833574+00:00,__li_content_type_load_time,,Aggregated (World),,,118.59,545.14,261.19666666666666,3,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:23.833574+00:00,__li_content_type_load_time,,Aggregated (World),,,240.04,240.04,240.04,1,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:23.833574+00:00,__li_content_type_load_time,,Aggregated (World),,,241.48,241.48,241.48,1,,,,,,,text/css,,,,,,
2016-05-08 14:15:23.833574+00:00,__li_content_type_load_time,,Aggregated (World),,,247.63,360.46,304.04,2,,,,,,,text/html,,,,,,
2016-05-08 14:15:26.858407+00:00,__li_content_type_load_time,,Aggregated (World),,,121.71,625.55,219.4675,16,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:26.858407+00:00,__li_content_type_load_time,,Aggregated (World),,,239.03,447.44,294.37,4,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:26.858407+00:00,__li_content_type_load_time,,Aggregated (World),,,240.55,452.58,297.13,4,,,,,,,text/css,,,,,,
2016-05-08 14:15:26.858407+00:00,__li_content_type_load_time,,Aggregated (World),,,244.76,701.98,422.84,8,,,,,,,text/html,,,,,,
2016-05-08 14:15:32.903470+00:00,__li_content_type_load_time,,Aggregated (World),,,121.59,10942.82,1406.4911111111112,9,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:32.903470+00:00,__li_content_type_load_time,,Aggregated (World),,,240.36,248.54,244.45,2,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:32.903470+00:00,__li_content_type_load_time,,Aggregated (World),,,233.99,249.33,241.66,2,,,,,,,text/css,,,,,,
2016-05-08 14:15:32.903470+00:00,__li_content_type_load_time,,Aggregated (World),,,270.3,701.93,525.34,4,,,,,,,text/html,,,,,,
2016-05-08 14:15:38.948682+00:00,__li_content_type_load_time,,Aggregated (World),,,118.13,534.4,213.33500000000004,12,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:38.948682+00:00,__li_content_type_load_time,,Aggregated (World),,,238.46,424.89,304.43,3,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:38.948682+00:00,__li_content_type_load_time,,Aggregated (World),,,239.32,425.87,305.45,3,,,,,,,text/css,,,,,,
2016-05-08 14:15:38.948682+00:00,__li_content_type_load_time,,Aggregated (World),,,238.88,748.7,458.81,6,,,,,,,text/html,,,,,,
2016-05-08 14:15:41.972772+00:00,__li_content_type_load_time,,Aggregated (World),,,122.79,584.47,238.765,8,,,,,,,application/javascript,,,,,,
2016-05-08 14:15:41.972772+00:00,__li_content_type_load_time,,Aggregated (World),,,245.4,460.88,353.14,2,,,,,,,image/x-icon,,,,,,
2016-05-08 14:15:41.972772+00:00,__li_content_type_load_time,,Aggregated (World),,,239.55,460.94,350.24,2,,,,,,,text/css,,,,,,
2016-05-08 14:15:41.972772+00:00,__li_content_type_load_time,,Aggregated (World),,,243.63,477.19,334.0,4,,,,,,,text/html,,,,,,
